Comment,VADER,HuggingFace
HOW MUCH MONEY AND FREE CHIT DID YOU GET WHILE YOU WERE IN THE USA!,Very Positive,negative
Greenland doesn&#39;t even have an army they rely on usa for everything we even built all their airports,Neutral,negative
"Dude had 50k USD…cash…Bruh you could have started a business, moved to a bigger town…but no you gave it to smugglers 🤦‍♂️",Very Negative,negative
"<a href=""https://www.youtube.com/watch?v=LqoaAP5h67Y&amp;t=58"">0:58</a>  No employment in India so I’ll head to America 🇺🇸 and steal a job that would otherwise go to an American citizen.",Very Negative,negative
"It&#39;s a repatriation flight,  not a pleasure cruise.  And 200 or so vs a staff of maybe 10. So yeah, of course restraints are needed.",Negative,negative
"Lies, lies n more lies…scams scams scams, but the truth hurts…finally 😮",Very Negative,negative
Empeach is the Key,Neutral,neutral
Of course the American&#39;s are the ones in the wrong-nothing new.,Neutral,negative
"Don’t break the law, or you will be treated like a criminal. Apply to come to A,Erica the right way.",Negative,negative
Aw if that’s the worst thing that happened to you you got off light! Deal with it!,Very Negative,negative
"Hopefully, Canada will have the same guts to do the same. Canadians are being scammed. 1. Indians get student visa. 2. Student visa expires. 3. The student claims asylum and begins the cycle at least 24 months is the current wait time. 4. If the claim is denied, the claimant can appeal for another 24 months and more taxpayer dollars. <br>Guess who is paying for all these tribunals, courts, lawyers, etc... taxpayers. <br><br>The worst offenders right now are from India, by far!!!  head and shoulders over any other country.<br>Right now, because of the massive backlog (250,000) , many cases are being approved without a hearing in person, and the application is being rubber-stamped (source is CBS news)",Very Negative,negative
I could watch this all day. When is Canada growing a pair?,Positive,negative
"Wow! At least they had food. Now, complain about the U.S. tax payer funded flight back on a military C-130? They flew in &quot;Free,&quot; on luxury flights, other paying people were bumped from- under ka me la; Biden&#39;s border czar! We know why they complain. They are not allowed back for 20 years. Unless, they were convicted of an additional crimes. If so you may never return. It&#39;s our US Law- finally being enforced! <br>PM Modi agrees with our President Trump! Tom Homan, will do his job, with respect, to all people. Do not attempt to slander him. USAID&#39;s NGO program is now void.",Very Positive,negative
🙄🙄🙄🙄🙄,Neutral,negative
How Did You Get This Kind Of Money To Come To The U.S. If There Were No Jobs Where You Were From?,Negative,neutral
"blah blah blah , so sad to bad, next time come legally.",Very Negative,negative
This is what happens when you listen to BIDEN.,Neutral,negative
"<a href=""https://www.youtube.com/watch?v=LqoaAP5h67Y&amp;t=58"">00:58</a>: ... and the donkeys were deported!",Neutral,negative
"Typical CBC funded by Liberals, hypocrites while sympathize the criminal.<br>Let put the criminal stay at the Liberals MP house.",Very Negative,negative
break the law ????HANDCUFFS???? of course,Neutral,negative
Trump is right his country his people his rules he need to protect his country from illegal,Negative,neutral
Lesson learned.,Neutral,positive
Owner came back in US,Neutral,neutral
Was  the 34x felony convicted DJT handcuffed or chained up after his convictions?? Did he have to wear an ankle bracelet to monitor his movements after conviction like other felons?? NO NO He was elected President of the USA after (F)elon Musk spent $277 Millions in PAC (election donation group) to buy his way into power!!,Very Negative,negative
It must be done.<br>Our officers don&#39;t know who the heck they are or if they are DANGEROUS!!!?,Neutral,negative
"You should have staying in your own country, you broke the law!!!  I don&#39;t feel sorry for you.",Very Negative,negative
Don&#39;t want to be cuffed? Don&#39;t break the law.,Neutral,negative
That&#39;s what criminals get and you aren&#39;t any better than the way they do the American citizens so you got treated like a Americans when we brake the law and get locked up. So don&#39;t try that crap you willfully broke the law&#39;s of the USA and got what you had coming for your crime. You are not above the law comrade,Very Negative,negative
"Ha ha , too bad. Go legal or don&#39;t go at all.",Positive,negative
"Well, if you came legally...<br><br>You must have committed crimes in the US or have a record in  India, or you wouldn&#39;t have been first on the list...",Positive,negative
"I am Indian and honestly I don&#39;t mind but by Indian law, we don&#39;t hand cuff in cases of Civil charges and unless the criminal charges are proven",Very Negative,neutral
FAFO,Neutral,neutral
What a crying shame.,Very Negative,negative
Where they criminally inside of the US?,Neutral,neutral
You were a prisoner thats how we transport them cant run if its only a waddle,Very Negative,negative
Next plane  is going to depart from Brampton,Neutral,neutral
I&#39;m so glad they&#39;re also being banned from entry for 20 years now under threat of a South American super jail!,Positive,negative
Good Riddance…To Bad Rubbish!   Now Let’s Do The Same In Canada?,Negative,negative
No one’s above the law - democrats,Negative,negative
Shame on India if they cannot take care of their people...there is where the shame should be. Why is it that they have the money to flee but not to live in their own country.,Very Negative,negative
"My son has the same experience,  being arrested at Coutts, viewed as a terrorist snd and later exonerated.  But only after 2 years of solitary. We don&#39;t have real justice nowadays.",Positive,negative
"What did these people expect, first class treatment  ?",Neutral,negative
Thank you president Trump!,Positive,positive
"Mr Trump is going to experience the very same that he is dishing out. When he leaves the physical form, woe to him",Negative,negative
"This is not your fault but the fault is with YOUR government, which did not provide  you with work.",Very Positive,negative
dont come😡,Neutral,negative
"Indian government created horrible life for Indian citizens , people trying to survive in India .. obviously it’s scary place to live when people going to America! <br>Look for the roots of all illegal immigrations - failed corrupted incompetent greedy people at powers<br>That where media should look first place!<br>Strange why media don’t cover the roots of the mega problems!",Very Negative,negative
"break the law, you find out........ no pity at all!!!",Very Negative,negative
LUCKY TO BE USHA VANCE …,Positive,positive
It&#39;s inhumane to not allow someone to eat or use the restroom!,Negative,negative
So proud of they country flags  but crying when they get deported from our beautiful 🇺🇸 thank you TRUMP 👏🏼👏🏼👏🏼🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,Very Positive,positive
"Sorry, if you were here illegally that’s the protocol 🤷",Neutral,neutral
Does Global or the mainstream media not understand that people hate them for this reason?,Very Negative,negative
It&#39;s amazing that people who condemn so called criminals most likely have been just like the ones they so readily condemn. In some past incarnation they may very well have bee.worse.,Negative,negative
Spent 46k to get to the us ILEGALLYY.... what don&#39;t you understand.....,Neutral,negative
Come the right way. Through the front door! MAGA🇺🇸,Neutral,positive
"How did he even get $46,000USD to begin with? He could have just started a business with that money and export products.",Neutral,negative
Bye bye,Neutral,neutral
Ahhh you poor poor babies.,Very Negative,negative
TRUMP! TRUMP! TRUMP!,Neutral,positive
This is the same reason why Columbia sent the jet back with its immigrants because they were being treated like criminals.,Negative,negative
Im sorry you came illegally and fid not want to become legal so what do you think would happen,Neutral,negative
All these haneous actions are going to be visited on the less than humans that perportrated these horrible actions. You KNOW who you are. 😮,Very Negative,negative
Should not have came illegally,Neutral,negative
"Times Up! Do the crime, do the time. And stay out!",Very Negative,neutral
Oh so sad. NOT,Very Negative,negative
😅😅😅😅,Neutral,neutral
tell them to apply legally,Positive,neutral
😂😂😂 cry harder,Negative,neutral
"Well come in the right way, and follow American laws, damn do the right thing and stop complaining",Very Negative,neutral
"My heart goes out to everyone that wanted a better life, illegals had time to become legal! All legal citizens must be in their country of origin to have the new financial system take place! My heartfelt blessings to all!",Very Positive,positive
crying for breaking the law and getting caught. you liberal die hards at global get no sympathy from real Canadians,Very Negative,negative
They broke immigration laws. Canada need to do the same<br> Goodbye.,Negative,negative
Illegal treatment. Don’t expect anything else.,Very Negative,negative
You did a crime. That is the consequence. No sympathies. Paying agents millions for illegal entry and stay in another country. Must have done something illegal here also. You want VIP treatment after all that? <br><br>Indian here.,Very Negative,negative
"If you come to US or Canada illegally, you will be deported like this.",Positive,negative
That’s what happens when you do a round the globe crime,Very Negative,negative
just please dont come to canada,Positive,negative
Dang,Neutral,neutral
"they disregard laws, thats a consequence one faces.",Negative,negative
Thought they were Pro-life?,Neutral,neutral
wel done trump.,Neutral,neutral
Haha! Get em tf out!,Very Positive,negative
The USA is fast becoming an international pariah,Neutral,negative
Don’t enter any country illegally. Once you do YOUVE BROKEN THE LAW AND ARE NOW A CRIMINAL 😀🤌🏽,Very Negative,negative
97% deported so far had a prior deportation order.,Neutral,neutral
Awesome lol 😂😂🎉,Very Positive,positive
Criminals treated like criminals.,Very Negative,negative
💔💔💔💔,Neutral,negative
