Original Comment,Cleaned Comment,VADER Sentiment,Hugging Face Sentiment
Into the plastic bag so powerful he&#39;s soft the holy Spirit and Holy Ghost tsk katana BB ABBOT SCORPION KING PTOH into the ring of the Magi you have to scorpion snap me tongue of God tsk katana BB ABBOT SCORPION KING PTOH into the Ring of the Magi you need Matt for the Chronus to keep sending katana tsk katana BB ABBOT SCORPION KING PTOH into the Ghengghis magic blade BLADE ONE into the ring of the Magi tsk katana BB ABBOT SCORPION KING PTOH into the ring of magi,plastic bag powerful hes soft holy spirit holy ghost tsk katana bb abbot scorpion king ptoh ring magi scorpion snap tongue god tsk katana bb abbot scorpion king ptoh ring magi need matt chronus keep sending katana tsk katana bb abbot scorpion king ptoh ghengghis magic blade blade one ring magi tsk katana bb abbot scorpion king ptoh ring magi,Positive,NEGATIVE
Roel Throughway,roel throughway,Neutral,NEGATIVE
Oh no sounds like someone really wants Mrs. Trump 😮 . What did Donald do is he not spending time with her did he abandon her is he not putting God first in his family? Did he cheat on her? Did he break there vows?😮,oh sounds like someone really wants mrs trump donald spending time abandon putting god first family cheat break vows,Negative,NEGATIVE
Orn Ferry,orn ferry,Neutral,NEGATIVE
Turner Crescent,turner crescent,Neutral,POSITIVE
incompetent secret service,incompetent secret service,Negative,NEGATIVE
Laila Ways,laila ways,Neutral,POSITIVE
Gutkowski Pine,gutkowski pine,Neutral,POSITIVE
Trump is a strong man,trump strong man,Positive,POSITIVE
Get down mr president,get mr president,Neutral,POSITIVE
Lueilwitz Alley,lueilwitz alley,Neutral,NEGATIVE
Hansen River,hansen river,Neutral,POSITIVE
I love how the crowd behind him reacted. Calm and without panicking and running away. Many not even hiding. Trump 2024,love crowd behind reacted calm without panicking running away many even hiding trump,Positive,POSITIVE
I’m not a gun expert nor am I insinuating anything but that doesn’t sound like a rifle to me more like a paintball gun or smth like that. Someone with more knowledge on the matter please enlighten me,im gun expert insinuating anything doesnt sound like rifle like paintball gun smth like someone knowledge matter please enlighten,Negative,NEGATIVE
Fight fight fight! MAGA,fight fight fight maga,Negative,NEGATIVE
Their eating the dogs and the cats,eating dogs cats,Neutral,NEGATIVE
Karma comes for Trump,karma comes trump,Neutral,NEGATIVE
God saved trump twice for a reason!!!,god saved trump twice reason,Positive,POSITIVE
He wasn&#39;t shot lmfao,wasnt shot lmfao,Negative,NEGATIVE
Thanks You Jehová ❤,thanks jehov,Positive,POSITIVE
He cemented his legend on this day.  Best president of my lifetime.,cemented legend day best president lifetime,Positive,POSITIVE
"6th Oct 2024, Elon Musk: There is no truer test of a man under fire.",th oct elon musk truer test man fire,Positive,NEGATIVE
"This is what happens when the media continues to portray you as a “Bad Man” and root to all evil, when in fact you just want to Make America Great Again. God Bless You Trump.",happens media continues portray bad man root evil fact want make america great god bless trump,Positive,NEGATIVE
"Even after watching 100x, still raises hairs on my neck. Man is a beast",even watching x still raises hairs neck man beast,Neutral,NEGATIVE
That woman . Should not these secret service be tall enough to block?!,woman secret service tall enough block,Negative,NEGATIVE
"I fought back tears when I saw this for the first time. This man truly loves his country, how could anybody deny it after this?",fought back tears saw first time man truly loves country could anybody deny,Positive,POSITIVE
"Fake , A situation created for",fake situation created,Negative,NEGATIVE
Beahan River,beahan river,Neutral,POSITIVE
Bro had 1 job and still failed,bro job still failed,Negative,NEGATIVE
Kshlerin Pine,kshlerin pine,Neutral,NEGATIVE
Amazing!,amazing,Positive,POSITIVE
The fact people joke about this and downplay the seriousness of it is a joke.. grow up America and wake up.. time to get over your liberal brainwashing,fact people joke downplay seriousness joke grow america wake time get liberal brainwashing,Positive,NEGATIVE
That would have caused WW3,would caused ww,Neutral,NEGATIVE
Bro forgot the aim bot,bro forgot aim bot,Neutral,NEGATIVE
Syble Mountains,syble mountains,Neutral,POSITIVE
Who shot? Donald Trump?,shot donald trump,Neutral,NEGATIVE
Alfonso Ridges,alfonso ridges,Neutral,POSITIVE
"Just imagine folks, we still got 5 more years in this decade. 2020s been one for the books",imagine folks still got years decade one books,Neutral,POSITIVE
Hilpert Gateway,hilpert gateway,Neutral,POSITIVE
Selmer Port,selmer port,Neutral,POSITIVE
If the guy that took shots at trump was Puerto Rican he wouldn’t have missed.,guy took shots trump puerto rican wouldnt missed,Positive,POSITIVE
This is the same Secret Service that killed JFK. They tried to get Trump to stand up so the shooter can take a clear shot for 2 minutes.,secret service killed jfk tried get trump stand shooter take clear shot minutes,Negative,NEGATIVE
Proud of Trump,proud trump,Positive,POSITIVE
Im proud of Trump&#39;s bodyguards,im proud trumps bodyguards,Positive,POSITIVE
Shame on American security forces,shame american security forces,Negative,NEGATIVE
"Wow YouTube, you recommending it to me after Trump got almost killed on 15th September?",wow youtube recommending trump got almost killed th september,Negative,POSITIVE
"I am from the Future, Trump won the Elections by a landslide on November the 5th",future trump elections landslide november th,Neutral,NEGATIVE
Acha kiya bhaiii<br>😅,acha kiya bhaiiibr,Neutral,POSITIVE
Does anyone besides me think it&#39;s odd that Matthew Crooks body disappeared from the morgue right after an investigation was ordered,anyone besides think odd matthew crooks body disappeared morgue right investigation ordered,Negative,NEGATIVE
Man this history now,man history,Neutral,POSITIVE
The fact that donald trump didn&#39;t screamed is crazy 🤣😭😧😧😧,fact donald trump didnt screamed crazy,Positive,NEGATIVE
The things adrenaline makes you do.,things adrenaline makes,Neutral,POSITIVE
"You see fight fight fight, I here pray pray pray",see fight fight fight pray pray pray,Negative,NEGATIVE
I can defeat the American police with no problem.,defeat american police problem,Negative,NEGATIVE
"Why We Support President Trump <br>1. Real Estate Policy Before the US Default<br>2. Supplementing military power<br>3. Vaccine Medical Development Consultation<br>4. war consultation<br>5. Crisis awareness is clear in the US national budget restoration consultation and negotiation <br>This is why I need him. Canada is the same. Because if construction stops in the middle, it will be difficult to overcome the crisis.<br>If we lose people who are well-educated in real estate and business realities in the United States, it would mean we are effectively giving up on responding to national crises.<br><br>If you don&#39;t respond to the crisis now, they will try to play with you in the next era as well.<br><br>In fact, this person is a person who knows very well the intertwined relationship of war and is also a person who knows very well the critical position of the United States in the international community.<br><br>Their death threats are not limited to the president, but also to his supporters.<br>Anyway, we have to overcome crises as we live.",support president trump br real estate policy us defaultbr supplementing military powerbr vaccine medical development consultationbr war consultationbr crisis awareness clear us national budget restoration consultation negotiation brthis need canada construction stops middle difficult overcome crisisbrif lose people welleducated real estate business realities united states would mean effectively giving responding national crisesbrbrif dont respond crisis try play next era wellbrbrin fact person person knows well intertwined relationship war also person knows well critical position united states international communitybrbrtheir death threats limited president also supportersbranyway overcome crises live,Negative,NEGATIVE
Hilpert Wall,hilpert wall,Neutral,NEGATIVE
Harber Orchard,harber orchard,Neutral,POSITIVE
he really thinks he&#39;s teddy roosevelt,really thinks hes teddy roosevelt,Neutral,NEGATIVE
Elinore Turnpike,elinore turnpike,Neutral,NEGATIVE
Kristofer Turnpike,kristofer turnpike,Neutral,POSITIVE
jojo reference?,jojo reference,Neutral,POSITIVE
Those Crowd are weak they Scream and duck when fear is near and then brag and cheer when the threat is no more just cowards,crowd weak scream duck fear near brag cheer threat cowards,Negative,NEGATIVE
Bro is not almight,bro almight,Neutral,POSITIVE
Most badass person I&#39;ve ever seen in my life.Trump 2024,badass person ive ever seen lifetrump,Negative,NEGATIVE
Solid President,solid president,Positive,POSITIVE
😂😂😂😂😂😂,,Neutral,Neutral
"This video has been edited,,,",video edited,Neutral,NEGATIVE
Is he ok 😢,ok,Positive,POSITIVE
be loyal to your country ALWAYS <br>Be loyal to your government when NEEDED <br><br>USA USA USA USA🇺🇲🇺🇸🇺🇲🇺🇲🇺🇲🇺🇲🇺🇸🇺🇸,loyal country always brbe loyal government needed brbrusa usa usa usa,Positive,POSITIVE
H.R.5736,hr,Neutral,POSITIVE
"Fight for America please, Trump is.",fight america please trump,Negative,POSITIVE
I’m an old man and this is one of the greatest moments of my life. I’m proud to be an American and support President Trump.,im old man one greatest moments life im proud american support president trump,Positive,POSITIVE
35474 Stokes Ramp,stokes ramp,Neutral,NEGATIVE
"Is that a Hitler Salute? <a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=29"">0:29</a> I&#39;m of the opinion that Trump thought those moments may be his last and didn&#39;t know how bad he was hurt.",hitler salute hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta im opinion trump thought moments may last didnt know bad hurt,Positive,NEGATIVE
This is what female spies look like in real life. Don&#39;t let Hollywood and James Bond movies fool you!,female spies look like real life dont let hollywood james bond movies fool,Negative,POSITIVE
"So he gets shot, bullets exchanged... his people are there. He&#39;s bloody, and instead of taking charge and securing safety (a leaders roll), his gut reaction is to stand up and screaming Fight Fight Fight and get the crowd going. His gut response was violence. No fuckin idea who to fight or who was shooting or how many... just fight fight fight. Straight for blood. 🤦‍♂️",gets shot bullets exchanged people hes bloody instead taking charge securing safety leaders roll gut reaction stand screaming fight fight fight get crowd going gut response violence fuckin idea fight shooting many fight fight fight straight blood,Negative,NEGATIVE
Nooooo,nooooo,Neutral,NEGATIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=23"">0:23</a> the moment you’ve all came for",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta moment youve came,Neutral,NEGATIVE
How come he don&#39;t got no blood on his hand after he touched his ear?,come dont got blood hand touched ear,Negative,NEGATIVE
460 Lueilwitz Knoll,lueilwitz knoll,Neutral,NEGATIVE
What a boss,boss,Neutral,POSITIVE
"Fake what else is really going on right now, bullshit.",fake else really going right bullshit,Negative,NEGATIVE
What a weird gunshot sound,weird gunshot sound,Negative,NEGATIVE
Poor trump😢😢😢,poor trump,Negative,NEGATIVE
“I bet you don’t even hear it when it happens”<br>- Bobby Baccalieri,bet dont even hear happensbr bobby baccalieri,Neutral,NEGATIVE
Certified historic monument,certified historic monument,Neutral,POSITIVE
If he loses this time our elections are a thousand percent rigged lol,loses time elections thousand percent rigged lol,Negative,NEGATIVE
&quot;Only in intense heat and pressure are the most precious and durable diamonds are formed.&quot;,quotonly intense heat pressure precious durable diamonds formedquot,Positive,POSITIVE
Someone died tho and these clowns still cheering,someone died tho clowns still cheering,Negative,NEGATIVE
Thomas might be caught,thomas might caught,Neutral,POSITIVE
Danger comes from the left,danger comes left,Negative,NEGATIVE
"Why did those people behind Donald Trump stayed there????🤔 and the lady with the phone recording!!! that wasn&#39;t  normal!!! THOSE WERE GUN SHOTS!!! HELLO!!! not rocks throwing🙄,,u don&#39;t get it, why didn&#39;t  they craweld they&#39;re  butts out of there???",people behind donald trump stayed lady phone recording wasnt normal gun shots hello rocks throwingu dont get didnt craweld theyre butts,Positive,NEGATIVE
Ow,ow,Neutral,NEGATIVE
For a second time this happened bro. Hello person sorting by newest btw,second time happened bro hello person sorting newest btw,Neutral,NEGATIVE
Who votes for gun violence to stop immediately 👇👇👇,votes gun violence stop immediately,Negative,NEGATIVE
"Wow, insane.",wow insane,Positive,POSITIVE
Funny how he has no dent in his ear even and the press avoids any close up.,funny dent ear even press avoids close,Positive,POSITIVE
😅😅😅 hes like yea,hes like yea,Positive,POSITIVE
He just got shot at again.......,got shot,Neutral,NEGATIVE
"I never saw the medical report until then, HE WASN’T SHOT.",never saw medical report wasnt shot,Neutral,NEGATIVE
The world needs more respect and tolerance.<br><br>God protect the America.,world needs respect tolerancebrbrgod protect america,Positive,NEGATIVE
"Dang, that must hurt REAL bad; considering it’s a damn shot",dang must hurt real bad considering damn shot,Negative,NEGATIVE
Paul Land,paul land,Neutral,POSITIVE
Is this the one where Thomas Crooks shot him,one thomas crooks shot,Neutral,NEGATIVE
Calista Forest,calista forest,Neutral,POSITIVE
😂....staged,staged,Neutral,POSITIVE
AFTER BISBO VIDEO HERE,bisbo video,Neutral,NEGATIVE
They looked like an emergency makeup appliance squad.And the people in the background lookef like? &quot; are we done&quot;? When do we get our checks&quot;?😅😅😅,looked like emergency makeup appliance squadand people background lookef like quot donequot get checksquot,Positive,NEGATIVE
Staged,staged,Neutral,POSITIVE
My aunt rlly said “that guy missed”,aunt rlly said guy missed,Negative,NEGATIVE
Him saying fight was pretty incredible,saying fight pretty incredible,Positive,POSITIVE
Donald Trump said fight fight fight😂😂,donald trump said fight fight fight,Negative,POSITIVE
Cummerata Port,cummerata port,Neutral,POSITIVE
Granville Meadows,granville meadows,Neutral,POSITIVE
Keenan Drives,keenan drives,Neutral,POSITIVE
Edward View,edward view,Neutral,POSITIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=4"">0:04</a> Johnny, Gyro is that you?",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta johnny gyro,Neutral,NEGATIVE
King Landing,king landing,Neutral,POSITIVE
Ankunding Fort,ankunding fort,Neutral,POSITIVE
"Listen closely:  you hear 3 shots in succession, then two seconds of silence as Trump ducks, and then you hear quick shots in succession.  Those first 3 shots all hit people -- 3 people in addition to Trump.  People interviewed the day of on TV said they heard initial shots then quick fire shots from another gun.<br><br>It&#39;s pretty clear those first 3 shots were from the shooter and after the silence the quick shots were return fire killing the shooter.  How, oh how, did the shooter fire 8 shots???  They said they found 8 spent shells by the shooter.  Does that make sense to you?  Again, listen to the audio and come to you own conclusion.",listen closely hear shots succession two seconds silence trump ducks hear quick shots succession first shots hit people people addition trump people interviewed day tv said heard initial shots quick fire shots another gunbrbrits pretty clear first shots shooter silence quick shots return fire killing shooter oh shooter fire shots said found spent shells shooter make sense listen audio come conclusion,Negative,NEGATIVE
"I’m astonished by how long it took the Secret Service to get up there and protect the president and the crowd with the ball best. That is their job. They are meant to be the best of the best, better than firemen or EMTs.<br><br>What the hell is going on…? Either there involves or they are clearly inept.",im astonished long took secret service get protect president crowd ball best job meant best best better firemen emtsbrbrwhat hell going either involves clearly inept,Positive,NEGATIVE
Give me a break 🤣🤣,give break,Neutral,POSITIVE
Oh gosh,oh gosh,Neutral,POSITIVE
Waters Prairie,waters prairie,Neutral,NEGATIVE
Brooo just misses 2 shot right away... dude it could be a headshot.. seriously 😂,brooo misses shot right away dude could headshot seriously,Negative,NEGATIVE
Crazy how it healed fast no scar and he acting calm raising his arm this gotta be stagged😭,crazy healed fast scar acting calm raising arm got ta stagged,Negative,NEGATIVE
"What a strong leader... Love you, Trump!! ❤❤",strong leader love trump,Positive,POSITIVE
CIA,cia,Neutral,NEGATIVE
Was he really “shot” or was the blood spattered from the victim who was shot?,really shot blood spattered victim shot,Negative,NEGATIVE
Ratke Stravenue,ratke stravenue,Neutral,NEGATIVE
Ralph Terrace,ralph terrace,Neutral,POSITIVE
This is fun making yall delete comments,fun making yall delete comments,Positive,NEGATIVE
Harris for president!!!!,harris president,Neutral,POSITIVE
O&#39;Reilly Drives,oreilly drives,Neutral,POSITIVE
😂😅😂😅😂😅,,Neutral,Neutral
Gofundme for Tom&#39;s family???,gofundme toms family,Neutral,NEGATIVE
So 🙄,,Neutral,Neutral
Berneice Burgs,berneice burgs,Neutral,NEGATIVE
Nienow Mews,nienow mews,Neutral,POSITIVE
"Trump really said &quot;Nah, I&#39;d win&quot; and the reference &quot;But it refused&quot;💀",trump really said quotnah id winquot reference quotbut refusedquot,Neutral,NEGATIVE
Нзт,,Neutral,Neutral
Lol 😂,lol,Positive,NEGATIVE
"If President Trump would not have turned his head, the FBI, CIA, WRAY, GARLAND, BUSH, CHANEY, WEF, WHO, CDC, FAUCI, NIH GATES, KLAUS SCHWAB, OBAMA, BIDEN, PELOSI, HARRIS and CLINTONS would have had nothing to worry about. Also, would have profited almost one trillion dollars.",president trump would turned head fbi cia wray garland bush chaney wef cdc fauci nih gates klaus schwab obama biden pelosi harris clintons would nothing worry also would profited almost one trillion dollars,Positive,NEGATIVE
Anna Inlet,anna inlet,Neutral,NEGATIVE
Inside job. FBI and CIA need to be abolished for this,inside job fbi cia need abolished,Neutral,NEGATIVE
Lakin Loaf,lakin loaf,Neutral,NEGATIVE
"Why was SS slow to respond.  Why was Trump slow to go down? No blood on Trumps palm, shirt collar or hair. No blood running down his face. Why did SS leave Trump exposed.  Trump shot &amp; concerned about his shoe? Why was the building not better protected?",ss slow respond trump slow go blood trumps palm shirt collar hair blood running face ss leave trump exposed trump shot amp concerned shoe building better protected,Positive,NEGATIVE
THIS IS AMERICAAAAAAAAAAAAAA!!!!!!!LLL!!!!!!!!1!1!1,americaaaaaaaaaaaaaalll,Neutral,NEGATIVE
Did they shoot him with pill’s ….,shoot pills,Negative,NEGATIVE
I love american So God pls save the donald trump,love american god pls save donald trump,Positive,POSITIVE
"Secret service with a reaction time of 5 working days ,",secret service reaction time working days,Neutral,NEGATIVE
So he puts his open palm against the ear where the “blood” is. When he does the fist pump why is there no blood on his hand? Looks odd to me.,puts open palm ear blood fist pump blood hand looks odd,Positive,NEGATIVE
Looking for the dude who died,looking dude died,Negative,NEGATIVE
Guys that was Ellie Williams my gf forgive her,guys ellie williams gf forgive,Positive,POSITIVE
BRO HAD A TODEM OF UNDYINH,bro todem undyinh,Neutral,NEGATIVE
Awful acting all round here. Bunch of clowns. 🤡,awful acting round bunch clowns,Negative,NEGATIVE
"Bro people have become more savage over the years. Back then, everyone would&#39;ve ran around screaming.",bro people become savage years back everyone wouldve ran around screaming,Negative,NEGATIVE
Trump Vance 2024! ❤🦅🇺🇲,trump vance,Neutral,POSITIVE
Oh this is one of those type of comment sections,oh one type comment sections,Neutral,NEGATIVE
Wow😮😮,wow,Positive,POSITIVE
NO BLOOD ON HIS HAND WHEN HE TOUCHED HIS “BLOODY” EAR  🤦🏼‍♀️,blood hand touched bloody ear,Positive,NEGATIVE
Indian and proud of Trump..,indian proud trump,Positive,POSITIVE
The media wants you to believe that someone tried to shoot Trump. Don’t let them deceive you! It never happened! Crisis actors.,media wants believe someone tried shoot trump dont let deceive never happened crisis actors,Positive,NEGATIVE
Think god Donald Trump didn’t die,think god donald trump didnt die,Positive,NEGATIVE
“What the fu@k was that!” .50 Caliber musket Ball?,fuk caliber musket ball,Neutral,NEGATIVE
Bro is fighting for guns and got shot LMAO,bro fighting guns got shot lmao,Positive,NEGATIVE
Fake,fake,Negative,NEGATIVE
😄..Trump still dreams of this moment. Fight...he thought he had it in the bag,trump still dreams moment fighthe thought bag,Positive,POSITIVE
FOGHT!,foght,Neutral,NEGATIVE
Karma hits harf,karma hits harf,Neutral,POSITIVE
And literally I see Donald Trump has red things on him. Which means is he bleeding or did he put ketchup on him?,literally see donald trump red things means bleeding put ketchup,Neutral,NEGATIVE
I was really scared about this. I got a bad feeling about this. What if that happens again? That was the bad feeling that I have😢,really scared got bad feeling happens bad feeling,Negative,NEGATIVE
Biden has made it look like you guys are a meme and easy to target,biden made look like guys meme easy target,Positive,POSITIVE
Embaressment. What a joke system,embaressment joke system,Positive,NEGATIVE
Eloisa Throughway,eloisa throughway,Neutral,NEGATIVE
"He is the former occupier of the office of presidents. There is nothing presidential about Donald Trump, except for the contrivances he Griffs miss excuses and steals.",former occupier office presidents nothing presidential donald trump except contrivances griffs miss excuses steals,Negative,NEGATIVE
Looks fake,looks fake,Negative,NEGATIVE
I don&#39;t believe this. <br>The people behind him have no looks of panic or fear at all. it seems so staged<br>even after the first shot and the next came in with rapid fire not one person on stage was hit ?,dont believe brthe people behind looks panic fear seems stagedbreven first shot next came rapid fire one person stage hit,Negative,NEGATIVE
Who shot him,shot,Neutral,NEGATIVE
This tiny female secret agent really made the difference. Her hands were ready to stop any bullet.,tiny female secret agent really made difference hands ready stop bullet,Positive,POSITIVE
Your not American if this video doesn&#39;t make you tear up,american video doesnt make tear,Neutral,POSITIVE
"Did he get shot, or  is that blood splatter from those who did?<br><b>No Medical Evidence Exists that Trump was actually hit.</b> <a href=""UCkszU2WH9gy1mb0dV-11UJg/YvgfY-LIBpjChgHKyYCQBg""></a>",get shot blood splatter didbrbno medical evidence exists trump actually hitb hrefuckszuwhgymbdvujgyvgfylibpjchghkyycqbga,Neutral,NEGATIVE
Nice try dems. Sorry Harris&#39;s plan didn&#39;t work out all that well.,nice try dems sorry harriss plan didnt work well,Positive,NEGATIVE
Haha Democrats you have now forged a god😂,haha democrats forged god,Positive,POSITIVE
There are mental patients (democrats) that insist it was all fake online right now.,mental patients democrats insist fake online right,Negative,NEGATIVE
Barack Obama we don&#39;t need the purpose of more security tools a media because of your keyboard circumstances with the military and we don&#39;t need Donald Trump just saying he&#39;s going to die like this,barack obama dont need purpose security tools media keyboard circumstances military dont need donald trump saying hes going die like,Negative,NEGATIVE
What was the video and who in it,video,Neutral,POSITIVE
I wanna know if thats joanne or not,wan na know thats joanne,Neutral,NEGATIVE
Him chanting “FIGHT” was legendary,chanting fight legendary,Negative,POSITIVE
It&#39;s weird that I can&#39;t find this clip in  4k/HD anywhere.,weird cant find clip khd anywhere,Negative,NEGATIVE
Total &quot;leopards ate my face&quot; moment.,total quotleopards ate facequot moment,Neutral,NEGATIVE
Folks.. please don&#39;t even reply to the fake comments on here. These are from accounts that will all soon be banned for putting out propaganda. They were created by very sick people.,folks please dont even reply fake comments accounts soon banned putting propaganda created sick people,Negative,NEGATIVE
Looked staged to me,looked staged,Neutral,POSITIVE
"There is no proof he was wounded let alone shot in the ear.  And, there is no evidence that this was a politically motivated assassination attempt.  <br><br>This is better titled: the moments round a mass shooting at a Trump rally.",proof wounded let alone shot ear evidence politically motivated assassination attempt brbrthis better titled moments round mass shooting trump rally,Neutral,NEGATIVE
"Secret service be like, &quot;Who&#39;s making popcorn?&quot;",secret service like quotwhos making popcornquot,Positive,NEGATIVE
Insane,insane,Negative,NEGATIVE
Real question though? What the guy in the green floppy hat did? Did President Trump gave him credit just for his encuragement or what? Genuinely asking!,real question though guy green floppy hat president trump gave credit encuragement genuinely asking,Positive,NEGATIVE
Am I the only one who thinks the little movement at the moment of the shot actually moved into the trajectory of the bullet?  <br><br>Sort of the opposite of what everyone is saying.,one thinks little movement moment shot actually moved trajectory bullet brbrsort opposite everyone saying,Neutral,NEGATIVE
Omg<br>😮,omgbr,Neutral,NEGATIVE
I fell bad for trump :(,fell bad trump,Negative,NEGATIVE
It sure looks staged the way the smallest agent was in front so we could still see the buffoon&#39;s face.,sure looks staged way smallest agent front could still see buffoons face,Positive,NEGATIVE
"Reminds me of the Blues Brothers, with John Belishi and Dan Aykroyd.",reminds blues brothers john belishi dan aykroyd,Neutral,POSITIVE
"He didn&#39;t get hit with a bullet from an AR15 there would be a LOT more damage. I carried an M-14 in Vietnam and they swapped it out for an M16. The damage is severe. Not some maxi pad on his ear and &#39;Poof!&#39; its miraculously  healed.  He wouldn&#39;t have a head.<br>Was &quot;dR. Ronny Johnson/ Jackson his attending physician? Really credible source . Yeah, right. <br><br>He either got somebody else&#39;s blood on him OR he carried some blood in a condom in his pocket. He put it on his ear when he ducked behind the podium. Something about his shoes and asking where they were to his SS agents. Apparently he wears 3 inch lifts. another illusion shattered <br>s/",didnt get hit bullet ar would lot damage carried vietnam swapped damage severe maxi pad ear poof miraculously healed wouldnt headbrwas quotdr ronny johnson jackson attending physician really credible source yeah right brbrhe either got somebody elses blood carried blood condom pocket put ear ducked behind podium something shoes asking ss agents apparently wears inch lifts another illusion shattered brs,Negative,NEGATIVE
😂,,Neutral,Neutral
Bro is getting fired 😭,bro getting fired,Negative,NEGATIVE
❤,,Neutral,Neutral
"Americans should vote for Trump for this show of Absolute courage, if not for anything else. <br><br>&quot;Fight!...Fight!... Fight!&quot;...right after being shot?<br><br>I choose to interpret this to mean that Americans must Fight to Make America Great Again at whatever cost! Power belongs to the People.",americans vote trump show absolute courage anything else brbrquotfightfight fightquotright shotbrbri choose interpret mean americans must fight make america great whatever cost power belongs people,Positive,NEGATIVE
Trump planned this and smeared ketchup on his ear.,trump planned smeared ketchup ear,Neutral,NEGATIVE
Disappointed in secret service agents !!! This should have never happened! <br>Your job is to serve and protect !!! <br>NOT LET ONE BULLET HIT MR. TRUMP!!!<br>VERY DISAPPOINTED IN DELAY REACTIONS ON PROTECTION!!!<br>IT LOOKS AS IF SECRET SERVICE AGENTS DO MOT TAKE PROTECTING WHOM<br>THEY ARE SUPPOSED TO AS SERIOUS AS THEY SHOULD NOW DAYS!!!!! MY OPINION!!!!,disappointed secret service agents never happened bryour job serve protect brnot let one bullet hit mr trumpbrvery disappointed delay reactions protectionbrit looks secret service agents mot take protecting whombrthey supposed serious days opinion,Negative,NEGATIVE
Disgraceful,disgraceful,Neutral,NEGATIVE
BRO WHY DID HE LOOK LIKE HE DIDNT GIVE A SHIT,bro look like didnt give shit,Positive,NEGATIVE
The moment he made history. ❤,moment made history,Neutral,POSITIVE
And he then said it was his ear lobe. Liars cannot keep their lies straight.;,said ear lobe liars keep lies straight,Negative,NEGATIVE
Still hard to believe,still hard believe,Negative,NEGATIVE
Harris is done,harris done,Neutral,POSITIVE
That was so stupid audience literally watched the sniper set it up and didn’t say anything,stupid audience literally watched sniper set didnt say anything,Negative,NEGATIVE
Righteousness vs BLACK ROCK lol,righteousness vs black rock lol,Positive,POSITIVE
That&#39;s not very demure of the sniper,thats demure sniper,Neutral,NEGATIVE
That shit is so faked,shit faked,Negative,NEGATIVE
Who shot him,shot,Neutral,NEGATIVE
The security came out of nowhere 💀,security came nowhere,Positive,NEGATIVE
Glad he’s ok,glad hes ok,Positive,POSITIVE
7 shots more than one shoter,shots one shoter,Neutral,POSITIVE
INWESTYCJE 😢,inwestycje,Neutral,POSITIVE
Does anyone think more than one person wanted to do this,anyone think one person wanted,Neutral,NEGATIVE
"And nobody cares, what a world we live in",nobody cares world live,Positive,NEGATIVE
"ALL OF PORTLAND OREGON SUPPORTS YOU MR. PRESIDENT TRUMP !!!!! YOUR BAD ASS !!!!! <a href=""UCkszU2WH9gy1mb0dV-11UJg/EvkfY6uNC5OykQOewoCQAQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/EvkfY6uNC5OykQOewoCQAQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/EvkfY6uNC5OykQOewoCQAQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/EvkfY6uNC5OykQOewoCQAQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/EvkfY6uNC5OykQOewoCQAQ""></a>",portland oregon supports mr president trump bad ass hrefuckszuwhgymbdvujgevkfyuncoykqoewocqaqaa hrefuckszuwhgymbdvujgevkfyuncoykqoewocqaqaa hrefuckszuwhgymbdvujgevkfyuncoykqoewocqaqaa hrefuckszuwhgymbdvujgevkfyuncoykqoewocqaqaa hrefuckszuwhgymbdvujgevkfyuncoykqoewocqaqa,Positive,NEGATIVE
Staged,staged,Neutral,POSITIVE
"he wasnt hit by a bullet, the telepromtor exploded and he was hit by glass. secret service confirmed this.",wasnt hit bullet telepromtor exploded hit glass secret service confirmed,Neutral,NEGATIVE
Fake,fake,Negative,NEGATIVE
Donald! Duck!,donald duck,Neutral,POSITIVE
"This was insane. they even used a kid, to take down their political opponent. not only that, they chose a person with a republican background, hoping that the republicans would take the blame, and not the democrats. this way they can safely endorse Kamala Harris.",insane even used kid take political opponent chose person republican background hoping republicans would take blame democrats way safely endorse kamala harris,Positive,NEGATIVE
Lots of blud,lots blud,Neutral,NEGATIVE
What the flip?,flip,Neutral,POSITIVE
"I don&#39;t believe trump was in on it, even though it was clearly planned. But why was his hand clear of any bl○○d after touching his ear? Everything about this is so very strange.",dont believe trump even though clearly planned hand clear bld touching ear everything strange,Positive,NEGATIVE
is a fake,fake,Negative,NEGATIVE
fake,fake,Negative,NEGATIVE
OH NO,oh,Neutral,POSITIVE
"I think his mate saw me....<br>YES, YES HE DID...",think mate saw mebryes yes,Positive,POSITIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=22"">0:22</a> Aura.",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta aura,Neutral,NEGATIVE
